,concat_column,Акция,Сектор,Период,Выплата на акцию (прогноз),Размер дивиденда рекомендован советом директоров,Валюта,Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),Дата закрытия реестра рекомендована советом директоров,"Капитализация, млн.",DSI,Прогноз прибыли в след. 12m,Доля от прибыли,"Кол-во акций в обращении, млн. шт.",Стабильность выплат,Стабильность роста,Комментарий/Див. политика
151,МРСК Юга (Россети Юг) всего 12м,МРСК Юга (Россети Юг),Энергетика,всего 12м,0.0,No,RUB,0%,0.05,Nan,No,95.73,0.0,0.0,0.0,82039.6,0,0,"Дивидендная политика МРСК Юга (как и других МРСК) предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. Компания имеет проблемы с постоянством денежного потока, поэтому может, время от времени, не выплачивать дивиденды."
152,МРСК Юга (Россети Юг) годовые 2021,МРСК Юга (Россети Юг),Энергетика,годовые 2021,0.0,No,RUB,0%,0.05,19.06.2022,No,95.73,0.0,0.0,0.0,82039.6,0,0,"Дивидендная политика МРСК Юга (как и других МРСК) предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. Компания имеет проблемы с постоянством денежного потока, поэтому может, время от времени, не выплачивать дивиденды."
153,МТС I полугодие 2021,МТС,Телекомы,I полугодие 2021,8.4,No,RUB,2.47%,340.45,12.10.2021,No,9357.54,0.5,31362.61,46.25,1726.9,1,0,"В марте 2019 года приняли новую дивидендную политику, которая предполагает выплаты в размере 28 руб. на акцию по итогам 2019-2022 г. Прошлая дивидендная политика предполагала выплату в размере 25-26 рублей на акцию. Обычно платят дважды в год (в июле - около 70% общего объема и октябре - около 30%). В 2019 году осуществили продажу украинского подразделения и часть средств направили на выплату спецдивидендов в январе 2020 года."
154,МТС всего 12м,МТС,Телекомы,всего 12м,34.91,No,RUB,10.25%,340.45,Nan,No,9357.54,0.5,61412.0,98.17,1726.9,1,0,"В марте 2019 года приняли новую дивидендную политику, которая предполагает выплаты в размере 28 руб. на акцию по итогам 2019-2022 г. Прошлая дивидендная политика предполагала выплату в размере 25-26 рублей на акцию. Обычно платят дважды в год (в июле - около 70% общего объема и октябре - около 30%). В 2019 году осуществили продажу украинского подразделения и часть средств направили на выплату спецдивидендов в январе 2020 года."
155,МТС годовые 2020,МТС,Телекомы,годовые 2020,26.51,Yes,RUB,7.79%,340.45,08.07.2021,Yes,9357.54,0.5,61412.0,74.55,1726.9,1,0,"В марте 2019 года приняли новую дивидендную политику, которая предполагает выплаты в размере 28 руб. на акцию по итогам 2019-2022 г. Прошлая дивидендная политика предполагала выплату в размере 25-26 рублей на акцию. Обычно платят дважды в год (в июле - около 70% общего объема и октябре - около 30%). В 2019 году осуществили продажу украинского подразделения и часть средств направили на выплату спецдивидендов в январе 2020 года."
156,Магнит 9 месяцев 2021,Магнит,Розничная торговля,9 месяцев 2021,203.74,No,RUB,3.84%,5305.5,08.01.2022,No,7436.67,0.71,29652.37,67.13,97.71,1,0.43,"Дивидендная политика Магнита не содержит конкретных указаний на порядок определения дивидендов. Считаем, что платит из прибыли по МСФО. Менеджмент планирует осуществлять дивидендные выплаты два раза в год - в июне и январе (за 4кв и за 9 месяцев - фактически, исходя из полугодовых результатов)."
157,Магнит IV квартал 2021,Магнит,Розничная торговля,IV квартал 2021,203.74,No,RUB,3.84%,5305.5,25.06.2022,No,7436.67,0.71,9884.12,201.4,97.71,1,0.43,"Дивидендная политика Магнита не содержит конкретных указаний на порядок определения дивидендов. Считаем, что платит из прибыли по МСФО. Менеджмент планирует осуществлять дивидендные выплаты два раза в год - в июне и январе (за 4кв и за 9 месяцев - фактически, исходя из полугодовых результатов)."
158,Магнит всего 12м,Магнит,Розничная торговля,всего 12м,407.48,No,RUB,7.68%,5305.5,Nan,No,7436.67,0.71,39536.49,100.7,97.71,1,0.43,"Дивидендная политика Магнита не содержит конкретных указаний на порядок определения дивидендов. Считаем, что платит из прибыли по МСФО. Менеджмент планирует осуществлять дивидендные выплаты два раза в год - в июне и январе (за 4кв и за 9 месяцев - фактически, исходя из полугодовых результатов)."
159,Магнит специальные,Магнит,Розничная торговля,специальные,0.0,No,RUB,0%,5305.5,10.06.2022,No,7436.67,0.71,39536.49,0.0,97.71,1,0.43,"Дивидендная политика Магнита не содержит конкретных указаний на порядок определения дивидендов. Считаем, что платит из прибыли по МСФО. Менеджмент планирует осуществлять дивидендные выплаты два раза в год - в июне и январе (за 4кв и за 9 месяцев - фактически, исходя из полугодовых результатов)."
160,Мать и дитя I полугодие 2021,Мать и дитя,Разное,I полугодие 2021,20.62,No,RUB,2.83%,728.0,18.09.2021,No,766.28,0.64,3097.41,50.0,75.13,1,0.29,"Четкой дивидендной политики на данный момент у ГК «Мать и дитя» нет. Однако на последние две выплаты (за 2019 г. и первое полугодие 2020 г.) пришлось 50% от чистой прибыли, ранее компания платила около 30% от чистой прибыли."
161,Мать и дитя II полугодие 2021,Мать и дитя,Разное,II полугодие 2021,20.62,No,RUB,2.83%,728.0,05.05.2022,No,766.28,0.64,3097.41,50.0,75.13,1,0.29,"Четкой дивидендной политики на данный момент у ГК «Мать и дитя» нет. Однако на последние две выплаты (за 2019 г. и первое полугодие 2020 г.) пришлось 50% от чистой прибыли, ранее компания платила около 30% от чистой прибыли."
162,Мать и дитя всего 12м,Мать и дитя,Разное,всего 12м,41.23,No,RUB,5.66%,728.0,Nan,No,766.28,0.64,6194.82,50.0,75.13,1,0.29,"Четкой дивидендной политики на данный момент у ГК «Мать и дитя» нет. Однако на последние две выплаты (за 2019 г. и первое полугодие 2020 г.) пришлось 50% от чистой прибыли, ранее компания платила около 30% от чистой прибыли."
163,Мечел-ао годовые 2020,Мечел-ао,Металлы и добыча,годовые 2020,0.0,No,RUB,0%,75.2,17.07.2021,No,650.5,0.0,808.0,0.0,404.78,0,0,"Согласно уставу Мечела: по префам - 20% от прибыли по МСФО, деленной на 138 756 915 акций. Мечел долгое время находился в сложном финансовом положении. В итоге, последние годы дивиденды выплачиваются согласно Уставу. По обыкновенным акциям дивидендов пока не ожидаем."
164,Мечел-ап годовые 2020,Мечел-ап,Металлы и добыча,годовые 2020,1.17,Yes,RUB,1.02%,115.25,13.07.2021,Yes,650.5,0.5,808.0,20.09,138.76,1,0,"Согласно уставу Мечела: по префам - 20% от прибыли по МСФО, деленной на 138 756 915 акций. Мечел долгое время находился в сложном финансовом положении. В итоге, последние годы дивиденды выплачиваются согласно Уставу. По обыкновенным акциям дивидендов пока не ожидаем."
165,Московская биржа всего 12м,Московская биржа,Финансы и Банки,всего 12м,10.74,No,RUB,6.3%,170.51,Nan,No,5338.61,0.64,27613.02,88.57,2276.4,1,0.29,"Дивидендная политика Московской биржи (МосБиржи) (октябрь 2019): Целевой уровень доли прибыли, направляемой на выплату дивидендов, определяется как величина свободного денежного потока на собственный капитал. Минимальное значение уровня доли прибыли, направляемой на выплату дивидендов, составляет 60% от чистой прибыли по МСФО."
166,Московская биржа годовые 2021,Московская биржа,Финансы и Банки,годовые 2021,10.74,No,RUB,6.3%,170.51,15.05.2022,No,5338.61,0.64,27613.02,88.57,2276.4,1,0.29,"Дивидендная политика Московской биржи (МосБиржи) (октябрь 2019): Целевой уровень доли прибыли, направляемой на выплату дивидендов, определяется как величина свободного денежного потока на собственный капитал. Минимальное значение уровня доли прибыли, направляемой на выплату дивидендов, составляет 60% от чистой прибыли по МСФО."
167,Мостотрест 9 месяцев 2021,Мостотрест,Строительство,9 месяцев 2021,0.0,No,RUB,0%,101.65,23.12.2021,No,394.56,0.14,4000.0,0.0,282.22,0,0,"Дивидендная политика Мостотреста: В случае, если совет директоров рекомендует выплату дивидендов, то они должны составлять не менее 30% от скорректированной чистой прибыли Группы, приходящейся на акционеров компании, согласно МСФО. Если сумма рассчитанных таким образом дивидендов превышает чистую прибыль компании за текущий год и нераспределенную прибыль по РСБУ (видимо, имеется в виду сумма этих величин, то есть дивиденды могут быть выплачены из нераспределенной прибыли по РСБУ), совет директоров обязан уменьшить эту сумму на соответствующую величину. В марте 2020 года менеджмент сообщил о реорганизации общества в форме выделения из него ряда активов Группы для их последующей интеграции в совместное предприятие АО «ГК «Нацпроектстрой» с участием ВЭБа и выкупе акций по цене 220.4 рублей за акцию. «Одним из ключевых принципов реорганизации станет соблюдение интересов миноритарных акционеров, которым, в том числе, будет предложено участие в новом предприятии». Непредсказуемое поведение менеджмента делает прогноз дивидендов крайне неопределенным. По итогам 2019 года отказались от выплат. Будем ждать более детальной информации от компании."
168,Мостотрест всего 12м,Мостотрест,Строительство,всего 12м,0.0,No,RUB,0%,101.65,Nan,No,394.56,0.14,0.0,0.0,282.22,0,0,"Дивидендная политика Мостотреста: В случае, если совет директоров рекомендует выплату дивидендов, то они должны составлять не менее 30% от скорректированной чистой прибыли Группы, приходящейся на акционеров компании, согласно МСФО. Если сумма рассчитанных таким образом дивидендов превышает чистую прибыль компании за текущий год и нераспределенную прибыль по РСБУ (видимо, имеется в виду сумма этих величин, то есть дивиденды могут быть выплачены из нераспределенной прибыли по РСБУ), совет директоров обязан уменьшить эту сумму на соответствующую величину. В марте 2020 года менеджмент сообщил о реорганизации общества в форме выделения из него ряда активов Группы для их последующей интеграции в совместное предприятие АО «ГК «Нацпроектстрой» с участием ВЭБа и выкупе акций по цене 220.4 рублей за акцию. «Одним из ключевых принципов реорганизации станет соблюдение интересов миноритарных акционеров, которым, в том числе, будет предложено участие в новом предприятии». Непредсказуемое поведение менеджмента делает прогноз дивидендов крайне неопределенным. По итогам 2019 года отказались от выплат. Будем ждать более детальной информации от компании."
169,Мостотрест годовые 2020,Мостотрест,Строительство,годовые 2020,0.0,No,RUB,0%,101.65,03.07.2021,No,394.56,0.14,0.0,0.0,282.22,0,0,"Дивидендная политика Мостотреста: В случае, если совет директоров рекомендует выплату дивидендов, то они должны составлять не менее 30% от скорректированной чистой прибыли Группы, приходящейся на акционеров компании, согласно МСФО. Если сумма рассчитанных таким образом дивидендов превышает чистую прибыль компании за текущий год и нераспределенную прибыль по РСБУ (видимо, имеется в виду сумма этих величин, то есть дивиденды могут быть выплачены из нераспределенной прибыли по РСБУ), совет директоров обязан уменьшить эту сумму на соответствующую величину. В марте 2020 года менеджмент сообщил о реорганизации общества в форме выделения из него ряда активов Группы для их последующей интеграции в совместное предприятие АО «ГК «Нацпроектстрой» с участием ВЭБа и выкупе акций по цене 220.4 рублей за акцию. «Одним из ключевых принципов реорганизации станет соблюдение интересов миноритарных акционеров, которым, в том числе, будет предложено участие в новом предприятии». Непредсказуемое поведение менеджмента делает прогноз дивидендов крайне неопределенным. По итогам 2019 года отказались от выплат. Будем ждать более детальной информации от компании."
170,Мосэнерго годовые 2020,Мосэнерго,Энергетика,годовые 2020,0.18,Yes,RUB,7.62%,2.36,05.07.2021,Yes,1288.06,0.5,8045.0,88.66,39749.36,1,0,"С 2020 года Мосэнерго, как и все ""дочки"" Газпрома, начала выплачивать не менее 50% прибыли по МСФО."
171,НКНХ-ао годовые 2021,НКНХ-ао,Химия,годовые 2021,10.33,No,RUB,9.67%,106.8,27.04.2022,No,2595.06,0.14,27016.0,61.62,1611.26,0.29,0,"Устав и дивидендная политика: сумма средств, направляемая на дивидендные выплаты (по всем видам акций), должна составлять не менее 15 % годовой чистой прибыли. Если дивиденды по префам не выплачиваются, то они накапливаются для следующих выплат, но не более чем за 3 года. В случае, если размер годового дивиденда, выплачиваемого на одну обыкновенную акцию, превышает размер дивиденда установленного уставом на одну привилегированную акцию Общества, владельцам привилегированных акций Общества выплачиваются дивиденды в размере выплачиваемых владельцам обыкновенных акций (как правило, платят одинаковые суммы по обоим видам акций). Дивиденды рассчитываются исходя из РСБУ, но результаты схожи с МСФО. По итогам 2018 года рекомендовали выплатить рекордные дивиденды из прибыли отчетного года и нераспределенной прибыли прошлых лет. В дальнейшем, уровень дивидендов снизится. С 2019 года пплатят около 70% от прибыли по МСФО. По итогам 2020 года на дивиденды распределили 30% прибыли по МСФО, оставшуюся часть прибыли направят на Стратегическую программу развития."
172,НКНХ-п годовые 2021,НКНХ-п,Химия,годовые 2021,10.33,No,RUB,13.63%,75.78,27.04.2022,No,2595.06,0.14,27016.0,8.38,218.98,0.29,0,"Устав и дивидендная политика: сумма средств, направляемая на дивидендные выплаты (по всем видам акций), должна составлять не менее 15 % годовой чистой прибыли. Если дивиденды по префам не выплачиваются, то они накапливаются для следующих выплат, но не более чем за 3 года. В случае, если размер годового дивиденда, выплачиваемого на одну обыкновенную акцию, превышает размер дивиденда установленного уставом на одну привилегированную акцию Общества, владельцам привилегированных акций Общества выплачиваются дивиденды в размере выплачиваемых владельцам обыкновенных акций (как правило, платят одинаковые суммы по обоим видам акций). Дивиденды рассчитываются исходя из РСБУ, но результаты схожи с МСФО. По итогам 2018 года рекомендовали выплатить рекордные дивиденды из прибыли отчетного года и нераспределенной прибыли прошлых лет. В дальнейшем, уровень дивидендов снизится. С 2019 года пплатят около 70% от прибыли по МСФО. По итогам 2020 года на дивиденды распределили 30% прибыли по МСФО, оставшуюся часть прибыли направят на Стратегическую программу развития."
173,НКХП 9 месяцев 2021,НКХП,Продовольствие,9 месяцев 2021,7.4,No,RUB,2.03%,364.0,14.01.2022,No,338.42,0.43,1000.0,50.0,67.6,0.86,0,Новороссийский комбинат хлебопродуктов (НКХП) в дивидендной политике не устанавливает конкретных правил определения размера дивидендов. Могут платить и по РСБУ и по МСФО. Обычно платят два раза в год (за 9 мес. и за год) исходя 40-50% годовой чистой прибыли по МСФО (хотя МСФО и РСБУ очень близки). Промежуточные дивиденды (за 9 мес.) обычно больше или примерно равны годовым.
174,НКХП всего 12м,НКХП,Продовольствие,всего 12м,13.67,No,RUB,3.75%,364.0,Nan,No,338.42,0.43,2309.58,40.0,67.6,0.86,0,Новороссийский комбинат хлебопродуктов (НКХП) в дивидендной политике не устанавливает конкретных правил определения размера дивидендов. Могут платить и по РСБУ и по МСФО. Обычно платят два раза в год (за 9 мес. и за год) исходя 40-50% годовой чистой прибыли по МСФО (хотя МСФО и РСБУ очень близки). Промежуточные дивиденды (за 9 мес.) обычно больше или примерно равны годовым.
175,НКХП годовые 2020,НКХП,Продовольствие,годовые 2020,6.27,Yes,RUB,1.72%,364.0,12.07.2021,Yes,338.42,0.43,2309.58,18.35,67.6,0.86,0,Новороссийский комбинат хлебопродуктов (НКХП) в дивидендной политике не устанавливает конкретных правил определения размера дивидендов. Могут платить и по РСБУ и по МСФО. Обычно платят два раза в год (за 9 мес. и за год) исходя 40-50% годовой чистой прибыли по МСФО (хотя МСФО и РСБУ очень близки). Промежуточные дивиденды (за 9 мес.) обычно больше или примерно равны годовым.
176,НЛМК I квартал 2022,НЛМК,Металлы и добыча,I квартал 2022,5.31,No,RUB,2.35%,226.02,23.06.2022,No,18631.05,0.5,50108.43,63.54,5993.23,1,0,"В марте 2019 года НЛМК обновила дивидендную политику. Предлагается выплачивать дивиденды на ежеквартальной основе в следующем диапазоне: 1) Если соотношение «Чистый долг / EBITDA» меньше или равно 1,0: компания планирует выплачивать 100% свободного денежного потока; 2) Если соотношение «Чистый долг / EBITDA» выше 1,0: дивидендные выплаты на уровне 50% от свободного денежного потока. Для расчета свободного денежного потока в целях выплаты дивидендов, НЛМК будет использовать нормализированный показатель инвестиций в размере $700 млн в год, если фактические инвестиции будут выше этого уровня. По факту выплачивают весь свободный денежный поток в качестве дивидендов в последние годы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
177,НЛМК II квартал 2021,НЛМК,Металлы и добыча,II квартал 2021,6.05,No,RUB,2.67%,226.02,12.10.2021,No,18631.05,0.5,81297.26,44.57,5993.23,1,0,"В марте 2019 года НЛМК обновила дивидендную политику. Предлагается выплачивать дивиденды на ежеквартальной основе в следующем диапазоне: 1) Если соотношение «Чистый долг / EBITDA» меньше или равно 1,0: компания планирует выплачивать 100% свободного денежного потока; 2) Если соотношение «Чистый долг / EBITDA» выше 1,0: дивидендные выплаты на уровне 50% от свободного денежного потока. Для расчета свободного денежного потока в целях выплаты дивидендов, НЛМК будет использовать нормализированный показатель инвестиций в размере $700 млн в год, если фактические инвестиции будут выше этого уровня. По факту выплачивают весь свободный денежный поток в качестве дивидендов в последние годы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
178,НЛМК III квартал 2021,НЛМК,Металлы и добыча,III квартал 2021,3.78,No,RUB,1.67%,226.02,29.12.2021,No,18631.05,0.5,50544.9,44.78,5993.23,1,0,"В марте 2019 года НЛМК обновила дивидендную политику. Предлагается выплачивать дивиденды на ежеквартальной основе в следующем диапазоне: 1) Если соотношение «Чистый долг / EBITDA» меньше или равно 1,0: компания планирует выплачивать 100% свободного денежного потока; 2) Если соотношение «Чистый долг / EBITDA» выше 1,0: дивидендные выплаты на уровне 50% от свободного денежного потока. Для расчета свободного денежного потока в целях выплаты дивидендов, НЛМК будет использовать нормализированный показатель инвестиций в размере $700 млн в год, если фактические инвестиции будут выше этого уровня. По факту выплачивают весь свободный денежный поток в качестве дивидендов в последние годы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
179,НЛМК IV квартал 2021,НЛМК,Металлы и добыча,IV квартал 2021,3.78,No,RUB,1.67%,226.02,11.05.2022,No,18631.05,0.5,27976.35,80.91,5993.23,1,0,"В марте 2019 года НЛМК обновила дивидендную политику. Предлагается выплачивать дивиденды на ежеквартальной основе в следующем диапазоне: 1) Если соотношение «Чистый долг / EBITDA» меньше или равно 1,0: компания планирует выплачивать 100% свободного денежного потока; 2) Если соотношение «Чистый долг / EBITDA» выше 1,0: дивидендные выплаты на уровне 50% от свободного денежного потока. Для расчета свободного денежного потока в целях выплаты дивидендов, НЛМК будет использовать нормализированный показатель инвестиций в размере $700 млн в год, если фактические инвестиции будут выше этого уровня. По факту выплачивают весь свободный денежный поток в качестве дивидендов в последние годы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
180,НЛМК всего 12м,НЛМК,Металлы и добыча,всего 12м,18.91,No,RUB,8.37%,226.02,Nan,No,18631.05,0.5,209926.95,53.99,5993.23,1,0,"В марте 2019 года НЛМК обновила дивидендную политику. Предлагается выплачивать дивиденды на ежеквартальной основе в следующем диапазоне: 1) Если соотношение «Чистый долг / EBITDA» меньше или равно 1,0: компания планирует выплачивать 100% свободного денежного потока; 2) Если соотношение «Чистый долг / EBITDA» выше 1,0: дивидендные выплаты на уровне 50% от свободного денежного потока. Для расчета свободного денежного потока в целях выплаты дивидендов, НЛМК будет использовать нормализированный показатель инвестиций в размере $700 млн в год, если фактические инвестиции будут выше этого уровня. По факту выплачивают весь свободный денежный поток в качестве дивидендов в последние годы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
181,НМТП 9 месяцев 2021,НМТП,Логистика,9 месяцев 2021,0.0,No,RUB,0%,6.92,09.01.2022,No,1834.43,0.57,3547.9,0.0,18482.93,1,0.14,"Согласно стратегии развития НМТП до 2029 года, опубликованной в феврале 2020 года, компания будет направлять на дивиденды не менее 50% от чистой прибыли по МСФО, принимая во внимание размер свободного денежного потока. Платят один или два раза в год (ориентируемся на один раз)."
182,НМТП всего 12м,НМТП,Логистика,всего 12м,0.06,No,RUB,0.87%,6.92,Nan,No,1834.43,0.57,16425.0,6.75,18482.93,1,0.14,"Согласно стратегии развития НМТП до 2029 года, опубликованной в феврале 2020 года, компания будет направлять на дивиденды не менее 50% от чистой прибыли по МСФО, принимая во внимание размер свободного денежного потока. Платят один или два раза в год (ориентируемся на один раз)."
183,НМТП годовые 2020,НМТП,Логистика,годовые 2020,0.06,Yes,RUB,0.87%,6.92,12.07.2021,Yes,1834.43,0.57,16425.0,6.75,18482.93,1,0.14,"Согласно стратегии развития НМТП до 2029 года, опубликованной в феврале 2020 года, компания будет направлять на дивиденды не менее 50% от чистой прибыли по МСФО, принимая во внимание размер свободного денежного потока. Платят один или два раза в год (ориентируемся на один раз)."
184,НОВАТЭК I полугодие 2021,НОВАТЭК,Нефть/Газ,I полугодие 2021,27.84,No,RUB,1.83%,1522.0,12.10.2021,No,63560.89,0.96,187870.93,45.0,3036.31,1,0.93,"Дивидендная политика Новатэка: не менее 30% от консолидированной чистой прибыли по МСФО, скорректированной на статьи, не относящиеся к основной деятельности и неденежные статьи. Платят дважды в год. База для прогноза - компания старается повышать дивиденды каждый год."
185,НОВАТЭК II полугодие 2021,НОВАТЭК,Нефть/Газ,II полугодие 2021,42.24,No,RUB,2.78%,1522.0,07.05.2022,No,63560.89,0.96,285000.0,45.0,3036.31,1,0.93,"Дивидендная политика Новатэка: не менее 30% от консолидированной чистой прибыли по МСФО, скорректированной на статьи, не относящиеся к основной деятельности и неденежные статьи. Платят дважды в год. База для прогноза - компания старается повышать дивиденды каждый год."
186,НОВАТЭК всего 12м,НОВАТЭК,Нефть/Газ,всего 12м,70.08,No,RUB,4.6%,1522.0,Nan,No,63560.89,0.96,472870.93,45.0,3036.31,1,0.93,"Дивидендная политика Новатэка: не менее 30% от консолидированной чистой прибыли по МСФО, скорректированной на статьи, не относящиеся к основной деятельности и неденежные статьи. Платят дважды в год. База для прогноза - компания старается повышать дивиденды каждый год."
187,Норильский никель I полугодие 2021,Норильский никель,Металлы и добыча,I полугодие 2021,689.46,No,RUB,2.79%,24746.0,07.10.2021,No,53859.96,0.5,252860.62,43.15,158.25,1,0,"Менеджмент предлагает направлять на дивиденды 60% EBITDA, если соотношение чистого долга к EBITDA на конец года будет менее 1.8x, и 30% EBITDA - если более 2.2x. Доля EBITDA в диапазоне 30% и 60% будет рассчитываться обратно пропорционально коэффициенту, если уровень чистого долга к EBITDA будет находиться между 1.8х и 2.2х. Рекомендация по размеру финальных дивидендов за 2020 год составила 50% от свободного денежного потока согласно отчетности по МСФО за вычетом промежуточных дивидендов, выплаченных по итогам 9 месяцев 2020 года. В дальнейшем менеджмент может изменить дивидендную политику и привязать выплаты акционерам к свободному денежному потоку. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
188,Норильский никель III квартал 2021,Норильский никель,Металлы и добыча,III квартал 2021,763.75,No,RUB,3.09%,24746.0,24.12.2021,No,53859.96,0.5,259306.55,46.61,158.25,1,0,"Менеджмент предлагает направлять на дивиденды 60% EBITDA, если соотношение чистого долга к EBITDA на конец года будет менее 1.8x, и 30% EBITDA - если более 2.2x. Доля EBITDA в диапазоне 30% и 60% будет рассчитываться обратно пропорционально коэффициенту, если уровень чистого долга к EBITDA будет находиться между 1.8х и 2.2х. Рекомендация по размеру финальных дивидендов за 2020 год составила 50% от свободного денежного потока согласно отчетности по МСФО за вычетом промежуточных дивидендов, выплаченных по итогам 9 месяцев 2020 года. В дальнейшем менеджмент может изменить дивидендную политику и привязать выплаты акционерам к свободному денежному потоку. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
189,Норильский никель всего 12м,Норильский никель,Металлы и добыча,всего 12м,2386.75,No,RUB,9.64%,24746.0,Nan,No,53859.96,0.5,504174.74,74.91,158.25,1,0,"Менеджмент предлагает направлять на дивиденды 60% EBITDA, если соотношение чистого долга к EBITDA на конец года будет менее 1.8x, и 30% EBITDA - если более 2.2x. Доля EBITDA в диапазоне 30% и 60% будет рассчитываться обратно пропорционально коэффициенту, если уровень чистого долга к EBITDA будет находиться между 1.8х и 2.2х. Рекомендация по размеру финальных дивидендов за 2020 год составила 50% от свободного денежного потока согласно отчетности по МСФО за вычетом промежуточных дивидендов, выплаченных по итогам 9 месяцев 2020 года. В дальнейшем менеджмент может изменить дивидендную политику и привязать выплаты акционерам к свободному денежному потоку. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
190,Норильский никель годовые 2021,Норильский никель,Металлы и добыча,годовые 2021,933.53,No,RUB,3.77%,24746.0,01.06.2022,No,53859.96,0.5,504174.74,29.3,158.25,1,0,"Менеджмент предлагает направлять на дивиденды 60% EBITDA, если соотношение чистого долга к EBITDA на конец года будет менее 1.8x, и 30% EBITDA - если более 2.2x. Доля EBITDA в диапазоне 30% и 60% будет рассчитываться обратно пропорционально коэффициенту, если уровень чистого долга к EBITDA будет находиться между 1.8х и 2.2х. Рекомендация по размеру финальных дивидендов за 2020 год составила 50% от свободного денежного потока согласно отчетности по МСФО за вычетом промежуточных дивидендов, выплаченных по итогам 9 месяцев 2020 года. В дальнейшем менеджмент может изменить дивидендную политику и привязать выплаты акционерам к свободному денежному потоку. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
191,ОГК-2 годовые 2020,ОГК-2,Энергетика,годовые 2020,0.06,Yes,RUB,7.6%,0.79,02.07.2021,Yes,1199.56,0.71,13264.0,49.96,110441.16,0.86,0.57,"С 2020 года ОГК-2, как и все ""дочки"" Газпрома, начала выплачивать не менее 50% прибыли по МСФО."
192,ОКЕЙ 9 месяцев 2021,ОКЕЙ,Розничная торговля,9 месяцев 2021,2.44,No,RUB,4.62%,52.84,25.01.2022,No,196.42,0.5,1188.26,55.25,269.07,1,0,"Четкой дивидендной политики у ритейлера нет. Ранее сообщали, что придерживаются целевого уровня выплат в 25% от чистой прибыли. В декабре 2020 года сообщили, что ""размер дивидендов зависит от потребностей бизнеса в финансировании и ситуации на рынке и остается на усмотрение Совета директоров"". Частота выплат дивидендов также не ограничена. С момента IPO на Лондонской бирже платят дивиденды каждый год."
